Timepoint 0
Object #;Volume (micrometers);Volume (pixels);Center of Mass;Center of Mass (micrometers);Avg. Intensity
4;4.72709821691;801;(255.66916354556804, 143.09987515605494, 7.3358302122347068);(28.907530218199909, 16.179753193259121, 3.3864612106079308);232.88639201
5;4.66218176199;790;(72.650632911392407, 238.03670886075949, 1.2379746835443037);(8.2143279898637989, 26.913896298670551, 0.57148995059146823);97.3544303797
6;4.01891870875;681;(226.13656387665199, 79.955947136563879, 2.1703377386196769);(25.568392617434718, 9.0403118073449846, 1.0018994923704918);66.5535976505
7;3.93629776614;667;(257.39730134932535, 97.733133433283356, 3.9340329835082457);(29.102924121361891, 11.050309974274475, 1.8160793958512922);231.404797601
8;3.72974540959;3;(284.30537974683546, 273.77215189873419, 1.9367088607594938);(32.145317183562682, 30.954365572145914, 0.89404869571057921);76.417721519
9;3.64712446698;618;(204.35436893203882, 61.229773462783172, 4.7993527508090619);(23.105563507157992, 6.9230152830435934, 2.2155395444584967);236.941747573
Timepoint 4
Object #;Volume (micrometers);Volume (pixels);Center of Mass;Center of Mass (micrometers);Avg. Intensity
0;5.43527772506;921;(147.95222584147666, 33.511400651465799, 1.6894679695982628);(16.728389845888255, 3.7890053440636935, 0.77991414469585663);233.444082519
1;4.60906829888;781;(234.89756722151088, 192.51216389244559, 7.9282970550576186);(26.558965611929302, 21.766610872883238, 3.6599634487656401);232.115236876
2;4.49693987676;762;(253.35564304461943, 142.08267716535434, 6.8687664041994747);(28.645949342101499, 16.064742523820961, 3.1708491499372524);236.307086614
3;4.28448602431;726;(155.5082644628099, 50.522038567493112, 1.7341597796143251);(17.582722107733929, 5.7123328301364298, 0.80054535843344243);71.58815427
4;3.83597233582;650;(241.1123076923077, 80.081538461538457, 2.9430769230769229);(27.261642444232582, 9.0545119360249515, 1.3586213900115907);232.295384615
5;3.73564690549;633;(148.32701421800948, 61.628751974723542, 3.7614533965244865);(16.770765727945388, 6.9681262507895063, 1.7364109656729985);75.4976303318
Timepoint 5
Object #;Volume (micrometers);Volume (pixels);Center of Mass;Center of Mass (micrometers);Avg. Intensity
0;9.28895454858;1574;(127.13278271918678, 61.949809402795424, 1.8189326556543837);(14.374415385935743, 7.0044269809012603, 0.83967931438876708);74442.22681067
1;7.83128506097;1;(85.837980406932928, 58.511680482290885, 3.3157498116051243);(9.7053707145265911, 6.6156909507705164, 1.5306594885953244);1.7392614922
2;5.56511063488;94443;(186.45068928950158, 43.276776246023331, 2.3870625662778369);(21.081263223516736, 4.8931388507289606, 1.1019468218487556);2.7392614922
3;5.32314930293;2;(250.2139689578714, 199.76274944567626, 2.9368070953436809);(28.290732321249404, 22.586406729657742, 1.3557270307091622);64442.22681067
